ROCKSTAR,Planet Rock Star
POPSTAR,Planet Pop Star
YOURMOM,Your mother
MAXIMTOMATOS,Maxim Tomatos
DEDEDE,King Dedede
METAKNIGHT,Meta Knight
WARPSTAR,Warp Star Racing
HALCANDRA,Halcandra
MAGOLORLAND,Merry Magoland
SMASHBROS,Smash Bros.
WADDLEDEE,Waddle Dee Town
GALACTICNOVA,Galactic Nova
HALTMAN,Haltmann Corporation
KIRBY,Kirby
BEAMATTACK,Beam Attack
HYNESS,Hyness' Cult
KANTO,Kanto
SQUEAK,The Squeaks
AMAZINGMIRROR,The Mirror World
ENDLESSEXPLOSIONS,Endless Explosions
VEHICULARMANSLAUGHTER,Running Over Kirby
GREENGREENS,Green Greens
LABDISCOVERA,Lab Discovera
FORGOTTENLAND,The Forgotten Land
DREAMLAND,Dreamland
CAPPYTOWN,Cappy Town
CHOZO,Chozo
ADAMSANDLR,Adam Sandler
